	cik	gvkey	sic_list
	1014920 	63381 	['737']
	1018693 	62555 	['824']
	11544 	14822 	['633', '630']
	840824 	15203 	['504']
	888747 	25761 	['232']
	351346 	2230 	['384']
	803027 	13532 	['633']
	5981 	1585 	['287']
	48898 	5764 	['364', '335', '366', '382']
	352331 	9120 	['283']
	102198 	11035 	['679']
	872589 	23812 	['283']
	873364 	23945 	['283']
	807144 	15442 	['804', '809']
	1013256 	63918 	['651']
	918965 	29910 	['504']
	918964 	30169 	['371', '348']
	766561 	6995 	['481', '366']
	857353 	63262 	['283']
	32017 	4251 	['295']
	1057379 	111000 	['737']
	842289 	21435 	['308']
	1069822 	115873 	['631', '621']
	64670 	7228 	['384']
	849116 	25961 	['609']
	52466 	6171 	['208', '355', '289', '382']
	701869 	17131 	['650', '632', '635', '630']
	69422 	7632 	['651']
	887921 	62290 	['284']
	870228 	24432 	['514']
	737758 	10618 	['352']
	905401 	61563 	['735']
	1023519 	63966 	['511']
	313716 	18654 	['354']
	84129 	9155 	['591']
	64907 	7252 	['602']
	64908 	7253 	['602']
	1006240 	62599 	['366']
	820757 	16394 	['581']
	920448 	63099 	['737']
	854460 	18484 	['357']
	22872 	3288 	['632']
	1305014 	1794 	['516', '517', '161', '291']
	1237941 	26019 	['371']
	928421 	30710 	['355']
	889992 	62497 	['283']
	719209 	6194 	['131']
	724606 	24113 	['581']
	1001907 	61766 	['376']
	944508 	64102 	['514']
	1006026 	62133 	['737']
	1006027 	62505 	['385']
	71829 	7882 	['495', '509', '735']
	1006028 	63448 	['358']
	723385 	7196 	['283']
	936931 	61859 	['738']
	874977 	24233 	['633', '628', '737']
	1222497 	6963 	['491']
	846753 	16739 	['603']
	1007997 	62690 	['737']
	775163 	20982 	['737']
	70487 	65587 	['738']
	891788 	26247 	['357']
	907127 	31518 	['738', '737', '784']
	807884 	13032 	['593', '735']
	89615 	9650 	['367']
	1481582 	5968 	['505']
	704159 	21499 	['621']
	1020359 	66114 	['701']
	1067701 	66065 	['735']
	941138 	10757 	['491', '499']
	1135338 	63716 	['484']
	876726 	29679 	['830']
	946486 	61140 	['283']
	319019 	12044 	['131']
	23055 	3277 	['737']
	887730 	25848 	['367']
	47217 	5606 	['357']
	815065 	25313 	['384']
	23503 	3399 	['367']
	351139 	6638 	['737']
	1009829 	62745 	['394']
	109446 	11691 	['343']
	27613 	3833 	['239']
	316672 	2908 	['366', '737']
	829444 	14325 	['373']
	841939 	15113 	['384']
	1044612 	65711 	['793', '394']
	31235 	4194 	['386']
	771266 	25166 	['367']
	910168 	63854 	['284']
	1063880 	64899 	['481', '489']
	792932 	12269 	['596', '512']
	713002 	4807 	['356']
	946665 	61532 	['737']
	76888 	8417 	['508']
	946661 	61276 	['283']
	109198 	11672 	['565', '571']
	889872 	62488 	['283']
	1029023 	64626 	['655']
	1098146 	30647 	['602']
	706015 	13525 	['737', '357', '504']
	859014 	26011 	['737']
	320446 	6743 	['481', '738']
	1051741 	109683 	['603']
	838875 	30666 	['208']
	794323 	13440 	['122', '478', '481', '737']
	883980 	25157 	['609', '737', '628']
	889609 	25852 	['615']
	1000229 	61759 	['138']
	934795 	31763 	['233']
	77281 	8457 	['679']
	796038 	12480 	['495']
	92081 	9880 	['602']
	866729 	9466 	['273']
	912219 	29423 	['603']
	852637 	16419 	['366']
	1014041 	63291 	['720']
	354647 	20019 	['602']
	1027183 	64584 	['602']
	59880 	6765 	['373', '367', '737', '381']
	13610 	2346 	['275', '737']
	19704 	2975 	['364', '357']
	201424 	2955 	['581']
	96412 	10345 	['205']
	75288 	8219 	['232']
	310142 	11012 	['286']
	852450 	17198 	['616']
	740876 	16861 	['602']
	744485 	24278 	['602']
	90811 	1573 	['541']
	773136 	12077 	['806']
	51103 	6053 	['344']
	63908 	7154 	['581']
	1058033 	7672 	['451']
	1001902 	61587 	['355']
	700721 	1523 	['738']
	105634 	6223 	['173', '874']
	1019779 	63559 	['356']
	1058290 	111864 	['737']
	828750 	14386 	['302']
	357208 	16550 	['602']
	46653 	5569 	['179', '736']
	205700 	7835 	['276']
	947427 	61253 	['737']
	877890 	61676 	['737']
	311817 	5408 	['679']
	821616 	14285 	['283']
	824225 	31530 	['367']
	874015 	24040 	['283']
	870517 	23592 	['602']
	879022 	24511 	['737']
	45876 	5496 	['349', '339', '344']
	874019 	64936 	['382']
	888165 	4666 	['628']
	791350 	29257 	['598']
	785080 	12102 	['484']
	785081 	62683 	['283']
	704386 	11062 	['367']
	1020186 	65107 	['518']
	929941 	31007 	['799']
	929940 	30870 	['737']
	1002590 	61735 	['598']
	1135185 	61155 	['452']
	1016718 	63835 	['731']
	748103 	9570 	['355']
	943742 	64054 	['274']
	855182 	30233 	['367', '355', '873']
	1017815 	63593 	['507']
	736893 	10388 	['366']
	914670 	29669 	['874']
	6814 	6809 	['736']
	798736 	12620 	['737']
	40888 	5018 	['376', '306', '229']
	918160 	29968 	['331']
	53500 	6259 	['381', '367']
	1002047 	61591 	['357']
	18937 	2888 	['329']
	63276 	7116 	['394']
	708717 	1259 	['283']
	931683 	31172 	['799', '651', '596']
	895565 	25480 	['495']
	1029753 	64439 	['153', '701', '173']
	30625 	4108 	['356', '349', '305']
	856984 	21505 	['283']
	875942 	28618 	['737']
	768177 	18693 	['602']
	1067092 	1998 	['602']
	856982 	21777 	['384']
	793074 	12266 	['421']
	934598 	31662 	['603']
	356342 	7430 	['289']
	887124 	27773 	['314']
	884731 	30674 	['283']
	808207 	13070 	['737']
	719413 	5560 	['145', '104']
	1037949 	61489 	['274', '481']
	822697 	19346 	['602']
	716133 	3036 	['481', '738', '489']
	917639 	29822 	['366']
	917321 	29757 	['519']
	887733 	25536 	['519']
	928395 	30994 	['514']
	319489 	1148 	['603', '621']
	890784 	22601 	['736']
	751652 	8873 	['492', '481', '517']
	31575 	4218 	['566', '799']
	725058 	12274 	['283']
	811596 	24293 	['281', '333', '335']
	921146 	30203 	['357']
	102109 	11027 	['506']
	858558 	20783 	['273', '272', '596']
	830656 	63901 	['283', '873', '504']
	225868 	9191 	['382']
	225648 	23485 	['633']
	924648 	30557 	['332']
	1027532 	65669 	['807']
	35214 	4622 	['281', '286', '285']
	924645 	30563 	['275']
	880555 	24317 	['272']
	1050377 	66586 	['596']
	924646 	30608 	['736']
	715446 	12717 	['357']
	1030715 	64602 	['508']
	355473 	7007 	['329', '295']
	763950 	12593 	['382']
	886475 	25845 	['731']
	888491 	25633 	['679']
	1143068 	6334 	['491']
	926866 	30692 	['679']
	1038271 	66070 	['737']
	97134 	10441 	['358']
	926861 	31794 	['679']
	737300 	11286 	['737']
	1019361 	63651 	['369']
	1070517 	65895 	['602']
	1057352 	112111 	['737']
	1013272 	66155 	['602']
	19913 	3002 	['653']
	880458 	24767 	['737']
	1037388 	61340 	['489']
	100030 	10301 	['376', '371']
	1050080 	115314 	['679']
	1059363 	111408 	['275']
	69999 	7718 	['737']
	880984 	24912 	['737', '504']
	755933 	16896 	['602']
	905428 	29063 	['737']
	905134 	28714 	['679']
	1041075 	65465 	['820']
	1041077 	65761 	['615']
	1004990 	62109 	['591']
	712752 	9718 	['355']
	1023516 	64282 	['366']
	821572 	14382 	['202']
	773588 	6452 	['781']
	64923 	7254 	['531']
	820738 	13940 	['737']
	920424 	30146 	['621']
	49899 	16887 	['602']
	820736 	21496 	['366', '381']
	75072 	8197 	['308']
	1001250 	61567 	['284']
	868326 	61257 	['355']
	1001258 	61544 	['615']
	911360 	28895 	['208']
	45791 	8390 	['562']
	821002 	19402 	['238']
	350403 	8515 	['452']
	1052837 	112178 	['283']
	1003078 	61732 	['508']
	54991 	6370 	['382']
	1006591 	63771 	['737']
	18540 	2847 	['499', '491']
	1053307 	30127 	['603']
	890908 	25312 	['801']
	106640 	11465 	['363']
	894572 	62511 	['737']
	69834 	7700 	['602']
	54193 	6313 	['365']
	911583 	63424 	['393']
	1271193 	63769 	['335']
	278041 	6115 	['441', '442', '444']
	96294 	10333 	['594', '511']
	814249 	13501 	['504']
	863445 	22819 	['508']
	718130 	22059 	['737']
